Problem,TSP-10
Cities,10
Best Length,298.729177

Iteration,Best_Length
0,332.276700
1,332.276700
2,332.276700
3,332.276700
4,332.276700
5,332.276700
6,325.682901
7,325.682901
8,325.682901
9,325.682901
10,325.682901
11,298.729177
12,298.729177
13,298.729177
14,298.729177
15,298.729177
16,298.729177
17,298.729177
18,298.729177
19,298.729177
20,298.729177
21,298.729177
22,298.729177
23,298.729177
24,298.729177
25,298.729177
26,298.729177
27,298.729177
28,298.729177
29,298.729177
30,298.729177
31,298.729177
32,298.729177
33,298.729177
34,298.729177
35,298.729177
36,298.729177
37,298.729177
38,298.729177
39,298.729177
40,298.729177
41,298.729177
42,298.729177
43,298.729177
44,298.729177
45,298.729177
46,298.729177
47,298.729177
48,298.729177
49,298.729177
50,298.729177
51,298.729177
52,298.729177
53,298.729177
54,298.729177
55,298.729177
56,298.729177
57,298.729177
58,298.729177
59,298.729177
60,298.729177
61,298.729177
62,298.729177
63,298.729177
64,298.729177
65,298.729177
66,298.729177
67,298.729177
68,298.729177
69,298.729177
70,298.729177
71,298.729177
72,298.729177
73,298.729177
74,298.729177
75,298.729177
76,298.729177
77,298.729177
78,298.729177
79,298.729177
80,298.729177
81,298.729177
82,298.729177
83,298.729177
84,298.729177
85,298.729177
86,298.729177
87,298.729177
88,298.729177
89,298.729177
90,298.729177
91,298.729177
92,298.729177
93,298.729177
94,298.729177
95,298.729177
96,298.729177
97,298.729177
98,298.729177
99,298.729177
